Structure [idcode]	Molecule Name	MolRegNo	m	Value	Unit	Type	Ligand Efficiency	Binding Efficiency	Surface Efficiency	Assay Index	Assay Category	Assay Organism	Target ID	Target Name	Target Organism	Target Description	Sequence Accession	Reference	Pubmed ID	DOI	InChI-Key	Molecular Formula	Monoisotopic Mass	Druglikeness	
eh\\J@@DCO@MMkolbbTTRTRJfRRtrTRRT\JZVNZ`dFbAB@BJh@ACbb`	Compound 161	1145371	=	77090	nM	IC50	0.17	9.23	3.76	589666		SARS coronavirus	101075	Replicase polyprotein 1ab	SARS coronavirus	Target is a single protein chain	P0C6X7	Bioorg. Med. Chem. Lett. 21 (10), 3088-3091 (2011)	21470860	10.1016/j.bmcl.2011.03.034	FNYFSVWJEDFLBU-UHFFFAOYSA-N	C25H23N3O5	445.163772	6.3458	
eh\\J@@DCO@MMkolbbTTRTRJfRRtrTRRT\JZVNZ`dFbAB@BJh@ACbb`	Compound 162	1145371	=	56.11	%	Inhibition				589665		SARS coronavirus	101075	Replicase polyprotein 1ab	SARS coronavirus	Target is a single protein chain	P0C6X7	Bioorg. Med. Chem. Lett. 21 (10), 3088-3091 (2011)	21470860	10.1016/j.bmcl.2011.03.034	FNYFSVWJEDFLBU-UHFFFAOYSA-N	C25H23N3O5	445.163772	6.3458	
eg`RDB@LBILaE@@cZPNdKiCIEDdhhmeEDdemKIqiTMuMPPMEPA`@UP@@@	Compound 163	349387	=	4.8978e12	nM	IC50				262926		SARS coronavirus	20012	SARS coronavirus 3C-like proteinase	SARS coronavirus	Target is a single protein chain	P0C6U8	J. Med. Chem. 49 (12), 3485-3495 (2006)	16759091	10.1021/jm050852f	FNZHACBCLXJSBM-UHFFFAOYSA-N	C20H13N4O2F3S	430.071130	-10.064	
eg`RDB@LBILaE@@cZPNdKiCIEDdhhmeEDdemKIqiTMuMPPMEPA`@UP@@@	Compound 164	349387	=	2.0e5	nM	IC50				262926		SARS coronavirus	20012	SARS coronavirus 3C-like proteinase	SARS coronavirus	Target is a single protein chain	P0C6U8	J. Med. Chem. 49 (12), 3485-3495 (2006)	16759091	10.1021/jm050852f	FNZHACBCLXJSBM-UHFFFAOYSA-N	C20H13N4O2F3S	430.071130	-10.064	
ehZTB@@DB@@golbbbfbRRbbrRvLTRbHXlRJzjZnAZjPh@dBbBAaA@HFD	Compound 165	2087897	=	41200	nM	IC50	0.18	10.09	5.28	1017144		SARS coronavirus	101075	Replicase polyprotein 1ab	SARS coronavirus	Target is a single protein chain	P0C6X7	Bioorg. Med. Chem. 24 (13), 3035-3042 (2016)	27240464	10.1016/j.bmc.2016.05.013	FPDHFAJPJUEJDC-UHFFFAOYSA-N	C27H18N2O4	434.126658	4.9703	
ek`TD@@DC@DlbbTRRbrRrTRbtQdL\BFfvNZjjBBJB@@H@@@	Compound 166	650991		0		EC50				486973		SARS coronavirus	100499	SARS coronavirus	SARS coronavirus	Target is a complete organism		J. Med. Chem. 53 (13), 4968-4979 (2010)	20527968	10.1021/jm1004489	FPSLGKGTZSFLOH-UHFFFAOYSA-N	C25H28N2O2	388.215078	7.1257	
ed^ZLD@LEMCEimg`@bPHrQQQIQJIKQIYKQWJIDLBVZAEC][@pt@AAEEUUMUMPT`@@	Compound 167	1145372	=	90720	nM	IC50	0.16	8.16	4.33	589666		SARS coronavirus	101075	Replicase polyprotein 1ab	SARS coronavirus	Target is a single protein chain	P0C6X7	Bioorg. Med. Chem. Lett. 21 (10), 3088-3091 (2011)	21470860	10.1016/j.bmcl.2011.03.034	FRBXCVPWEKEFKO-UHFFFAOYSA-N	C24H25N5O3S2	495.139880	-2.3032	
ed^ZLD@LEMCEimg`@bPHrQQQIQJIKQIYKQWJIDLBVZAEC][@pt@AAEEUUMUMPT`@@	Compound 168	1145372	=	53.27	%	Inhibition				589665		SARS coronavirus	101075	Replicase polyprotein 1ab	SARS coronavirus	Target is a single protein chain	P0C6X7	Bioorg. Med. Chem. Lett. 21 (10), 3088-3091 (2011)	21470860	10.1016/j.bmcl.2011.03.034	FRBXCVPWEKEFKO-UHFFFAOYSA-N	C24H25N5O3S2	495.139880	-2.3032	
ffcHaBIV}GIPAG@bLe{IEEEBdcEECDRbm^STmMUMTuJ@@	Compound 169	356373	=	20000	nM	IC50	0.29	14.05	6.44	266027		SARS coronavirus	20012	SARS coronavirus 3C-like proteinase	SARS coronavirus	Target is a single protein chain	P0C6U8	J. Med. Chem. 49 (17), 5154-5161 (2006)	16913704	10.1021/jm060207o	FRQPWTXXDABLQI-UHFFFAOYSA-N	C14H14N4O2S2	334.055816	0.105	
dk^D`EGPkDfUn]kiV@HZX`@	Compound 170	96598	<	25	%	Inhibition				262887		SARS coronavirus	20012	SARS coronavirus 3C-like proteinase	SARS coronavirus	Target is a single protein chain	P0C6U8	J. Med. Chem. 49 (12), 3440-3443 (2006)	16759084	10.1021/jm0602357	FVRVCKWJOSBBDD-UHFFFAOYSA-N	C9H6NO2I	286.944327	0.055769	
fbu@`@@ARYegUmWYKUhH@@bjT@@@	Compound 171	18078		0		Activity				294025		SARS coronavirus	100499	SARS coronavirus	SARS coronavirus	Target is a complete organism		J. Med. Chem. 50 (17), 4087-4095 (2007)	17663539	10.1021/jm070295s	FVYXIJYOAGAUQK-UHFFFAOYSA-N	C18H18O2	266.130680	-4.9267	
fbu@`@@ARYegUmWYKUhH@@bjT@@@	Compound 172	18078	=	6500	nM	EC50				294026		SARS coronavirus	100499	SARS coronavirus	SARS coronavirus	Target is a complete organism		J. Med. Chem. 50 (17), 4087-4095 (2007)	17663539	10.1021/jm070295s	FVYXIJYOAGAUQK-UHFFFAOYSA-N	C18H18O2	266.130680	-4.9267	
fbu@`@@ARYegUmWYKUhH@@bjT@@@	Compound 173	18078	<	25	%	Inhibition				294022		SARS coronavirus	100499	SARS coronavirus	SARS coronavirus	Target is a complete organism		J. Med. Chem. 50 (17), 4087-4095 (2007)	17663539	10.1021/jm070295s	FVYXIJYOAGAUQK-UHFFFAOYSA-N	C18H18O2	266.130680	-4.9267	
fbu@`@@ARYegUmWYKUhH@@bjT@@@	Compound 174	18078	<	25	%	Inhibition				294023		SARS coronavirus	100499	SARS coronavirus	SARS coronavirus	Target is a complete organism		J. Med. Chem. 50 (17), 4087-4095 (2007)	17663539	10.1021/jm070295s	FVYXIJYOAGAUQK-UHFFFAOYSA-N	C18H18O2	266.130680	-4.9267	
fbu@`@@ARYegUmWYKUhH@@bjT@@@	Compound 175	18078	=	25	%	Inhibition				294024		SARS coronavirus	100499	SARS coronavirus	SARS coronavirus	Target is a complete organism		J. Med. Chem. 50 (17), 4087-4095 (2007)	17663539	10.1021/jm070295s	FVYXIJYOAGAUQK-UHFFFAOYSA-N	C18H18O2	266.130680	-4.9267	
ekhZ@D@LBIEM@@c`HrQQEIQJZIIQZKQGBcRqJhZ[XzfZfjB@@@@d@@@	Compound 176	1145368	=	58350	nM	IC50	0.20	10.19	6.08	589666		SARS coronavirus	101075	Replicase polyprotein 1ab	SARS coronavirus	Target is a single protein chain	P0C6X7	Bioorg. Med. Chem. Lett. 21 (10), 3088-3091 (2011)	21470860	10.1016/j.bmcl.2011.03.034	FWUJPPXHEKWVQA-UHFFFAOYSA-N	C22H17N5S2	415.092535	4.4265	
ekhZ@D@LBIEM@@c`HrQQEIQJZIIQZKQGBcRqJhZ[XzfZfjB@@@@d@@@	Compound 177	1145368	=	58.23	%	Inhibition				589665		SARS coronavirus	101075	Replicase polyprotein 1ab	SARS coronavirus	Target is a single protein chain	P0C6X7	Bioorg. Med. Chem. Lett. 21 (10), 3088-3091 (2011)	21470860	10.1016/j.bmcl.2011.03.034	FWUJPPXHEKWVQA-UHFFFAOYSA-N	C22H17N5S2	415.092535	4.4265	
dknB@JAEwHheMhhZYjjijcd@	Compound 178	333672	=	39	%	Inhibition				254531		SARS coronavirus	20012	SARS coronavirus 3C-like proteinase	SARS coronavirus	Target is a single protein chain	P0C6U8	Bioorg. Med. Chem. Lett. 15 (24), 5365-5369 (2005)	16216498	10.1016/j.bmcl.2005.09.012	FXMLKVDNSKCHDD-YXDJQVONSA-N	C8H13NO4	187.084459	-0.9758	
el^\B@@DBE`@`XTfYnUVYuUnVRFKDbajfodVjdJ@I@jKBAaA@HFD	Compound 179	2087680	=	18700	nM	IC50	0.18	10.29	4.42	1017144		SARS coronavirus	101075	Replicase polyprotein 1ab	SARS coronavirus	Target is a single protein chain	P0C6X7	Bioorg. Med. Chem. 24 (13), 3035-3042 (2016)	27240464	10.1016/j.bmc.2016.05.013	FZYKSLVCMHDYQR-UHFFFAOYSA-N	C28H17N3O4	459.121907	0.69033	
fdy`P@D@YxNQQQQKIHjXgMVZibBIh@@@	Compound 180	349171	<	25	%	Inhibition				262887		SARS coronavirus	20012	SARS coronavirus 3C-like proteinase	SARS coronavirus	Target is a single protein chain	P0C6U8	J. Med. Chem. 49 (12), 3440-3443 (2006)	16759084	10.1021/jm0602357	FZYRAOYAYPHAMW-UHFFFAOYSA-N	C13H13NO4	247.084459	-1.9483	
eohRDH@LBILaE@@cIEDdhhmeEDdhmjdnMJiaejBAhjhNbHjb@@@	Compound 181	348844	=	4.8978e12	nM	IC50				262926		SARS coronavirus	20012	SARS coronavirus 3C-like proteinase	SARS coronavirus	Target is a single protein chain	P0C6U8	J. Med. Chem. 49 (12), 3485-3495 (2006)	16759091	10.1021/jm050852f	GBDKYZQJONYDPW-UHFFFAOYSA-N	C24H30N4O2S	438.208946	-11.904	
eohRDH@LBILaE@@cIEDdhhmeEDdhmjdnMJiaejBAhjhNbHjb@@@	Compound 182	348844	=	2.0e5	nM	IC50				262926		SARS coronavirus	20012	SARS coronavirus 3C-like proteinase	SARS coronavirus	Target is a single protein chain	P0C6U8	J. Med. Chem. 49 (12), 3485-3495 (2006)	16759091	10.1021/jm050852f	GBDKYZQJONYDPW-UHFFFAOYSA-N	C24H30N4O2S	438.208946	-11.904	
dg}H`Ne`BLdTReTRQT]uJt@D@@	Compound 183	371789	<	10	%	Inhibition				278390		SARS coronavirus	20012	SARS coronavirus 3C-like proteinase	SARS coronavirus	Target is a single protein chain	P0C6U8	J. Med. Chem. 50 (8), 1850-1864 (2007)	17381079	10.1021/jm061425k	GFDOUDIYCCVPDR-UHFFFAOYSA-N	C10H8N2OS	204.035733	3.2828	
ea]\N@@LIG@DKFnailbbRdTlTRtVVbfrRbbRRpVTRVKMOKUUUSUUSMU@@@EAaQHhe@@	Compound 184	333467	=	29	%	Inhibition				254531		SARS coronavirus	20012	SARS coronavirus 3C-like proteinase	SARS coronavirus	Target is a single protein chain	P0C6U8	Bioorg. Med. Chem. Lett. 15 (24), 5365-5369 (2005)	16216498	10.1016/j.bmcl.2005.09.012	GKGBVZBCZGFQAG-SDHSZQHLSA-N	C30H37N3O7	551.263152	-52.891	
fj}Q`@DE@sJSLrzsj|SfgARuSD@@Pp@@@	Compound 185	246346	=	12500	nM	IC50	0.32	17.49	6.09	262886		SARS coronavirus	20012	SARS coronavirus 3C-like proteinase	SARS coronavirus	Target is a single protein chain	P0C6U8	J. Med. Chem. 49 (12), 3440-3443 (2006)	16759084	10.1021/jm0602357	GNHGMLHHGVQGSW-UHFFFAOYSA-N	C16H12N2O3	280.084793	0.42426	
fj}Q`@DE@sJSLrzsj|SfgARuSD@@Pp@@@	Compound 186	246346	=	13000	nM	Ki	0.32	17.43	6.07	262886		SARS coronavirus	20012	SARS coronavirus 3C-like proteinase	SARS coronavirus	Target is a single protein chain	P0C6U8	J. Med. Chem. 49 (12), 3440-3443 (2006)	16759084	10.1021/jm0602357	GNHGMLHHGVQGSW-UHFFFAOYSA-N	C16H12N2O3	280.084793	0.42426	
fj}Q`@DE@sJSLrzsj|SfgARuSD@@Pp@@@	Compound 187	246346	=	12589	nM	Ki				262886		SARS coronavirus	20012	SARS coronavirus 3C-like proteinase	SARS coronavirus	Target is a single protein chain	P0C6U8	J. Med. Chem. 49 (12), 3440-3443 (2006)	16759084	10.1021/jm0602357	GNHGMLHHGVQGSW-UHFFFAOYSA-N	C16H12N2O3	280.084793	0.42426	
fdeIb@DTyKSh`bLbbTRQTRbKNBe[tA@uUUEXTcJt@@	Compound 188	386746	>	3.0e5	nM	IC50				287336		SARS coronavirus	100499	SARS coronavirus	SARS coronavirus	Target is a complete organism		Bioorg. Med. Chem. Lett. 17 (9), 2470-2473 (2007)	17336519	10.1016/j.bmcl.2007.02.026	GTFKHUYSYOGXNT-OXOINMOOSA-N	C10H11N4O3Cl	270.051968	-2.405	
fjm`P@D@hkVQQJJYQPeQITYdkUUSUP@QcBHfH@	Compound 189	333820	=	10	%	Inhibition				254531		SARS coronavirus	20012	SARS coronavirus 3C-like proteinase	SARS coronavirus	Target is a single protein chain	P0C6U8	Bioorg. Med. Chem. Lett. 15 (24), 5365-5369 (2005)	16216498	10.1016/j.bmcl.2005.09.012	GTXDNECTLBDNJY-FPMFFAJLSA-N	C16H21NO4	291.147059	3.8244	
foA`b@CLx@HrQQJUJIHeKNjUj@B@@@	Compound 190	371881	=	19	%	Inhibition				278390		SARS coronavirus	20012	SARS coronavirus 3C-like proteinase	SARS coronavirus	Target is a single protein chain	P0C6U8	J. Med. Chem. 50 (8), 1850-1864 (2007)	17381079	10.1021/jm061425k	GVDKMRCLPSJOOL-UHFFFAOYSA-N	C11H9NO2S	219.035399	1.7398	
ffsA`@@LmdTTTTTrRRadxISkQCehF`jJjiJ`Z`@	Compound 191	314493	=	226700	nM	IC50				678191		SARS coronavirus	20012	SARS coronavirus 3C-like proteinase	SARS coronavirus	Target is a single protein chain	P0C6U8	Bioorg. Med. Chem. 20 (19), 5928-5935 (2012)	22884354	10.1016/j.bmc.2012.07.038	GVKKJJOMQCNPGB-JTQLQIEISA-N	C19H20O3	296.141245	-7.2224	
ffsA`@@LmdTTTTTrRRadxISkQCehF`jJjiJ`Z`@	Compound 192	314493	=	87600	nM	IC50	0.25	13.69	9.36	678193		SARS coronavirus	20012	SARS coronavirus 3C-like proteinase	SARS coronavirus	Target is a single protein chain	P0C6U8	Bioorg. Med. Chem. 20 (19), 5928-5935 (2012)	22884354	10.1016/j.bmc.2012.07.038	GVKKJJOMQCNPGB-JTQLQIEISA-N	C19H20O3	296.141245	-7.2224	
ffsA`@@LmdTTTTTrRRadxISkQCehF`jJjiJ`Z`@	Compound 193	314493	=	10100	nM	IC50	0.31	16.86	11.52	678310		SARS coronavirus	20012	SARS coronavirus 3C-like proteinase	SARS coronavirus	Target is a single protein chain	P0C6U8	Bioorg. Med. Chem. 20 (19), 5928-5935 (2012)	22884354	10.1016/j.bmc.2012.07.038	GVKKJJOMQCNPGB-JTQLQIEISA-N	C19H20O3	296.141245	-7.2224	
ffsA`@@LmdTTTTTrRRadxISkQCehF`jJjiJ`Z`@	Compound 194	314493	=	800	nM	IC50	0.38	20.57	14.06	678190		SARS coronavirus	20012	SARS coronavirus 3C-like proteinase	SARS coronavirus	Target is a single protein chain	P0C6U8	Bioorg. Med. Chem. 20 (19), 5928-5935 (2012)	22884354	10.1016/j.bmc.2012.07.038	GVKKJJOMQCNPGB-JTQLQIEISA-N	C19H20O3	296.141245	-7.2224	
ffsA`@@LmdTTTTTrRRadxISkQCehF`jJjiJ`Z`@	Compound 195	314493		0		Inhibition				678308		SARS coronavirus	20012	SARS coronavirus 3C-like proteinase	SARS coronavirus	Target is a single protein chain	P0C6U8	Bioorg. Med. Chem. 20 (19), 5928-5935 (2012)	22884354	10.1016/j.bmc.2012.07.038	GVKKJJOMQCNPGB-JTQLQIEISA-N	C19H20O3	296.141245	-7.2224	
ffsA`@@LmdTTTTTrRRadxISkQCehF`jJjiJ`Z`@	Compound 196	314493		0		Inhibition				678309		SARS coronavirus	20012	SARS coronavirus 3C-like proteinase	SARS coronavirus	Target is a single protein chain	P0C6U8	Bioorg. Med. Chem. 20 (19), 5928-5935 (2012)	22884354	10.1016/j.bmc.2012.07.038	GVKKJJOMQCNPGB-JTQLQIEISA-N	C19H20O3	296.141245	-7.2224	
ffsA`@@LmdTTTTTrRRadxISkQCehF`jJjiJ`Z`@	Compound 197	314493		0		Inhibition				678311		SARS coronavirus	20012	SARS coronavirus 3C-like proteinase	SARS coronavirus	Target is a single protein chain	P0C6U8	Bioorg. Med. Chem. 20 (19), 5928-5935 (2012)	22884354	10.1016/j.bmc.2012.07.038	GVKKJJOMQCNPGB-JTQLQIEISA-N	C19H20O3	296.141245	-7.2224	
ffsA`@@LmdTTTTTrRRadxISkQCehF`jJjiJ`Z`@	Compound 198	314493		0		Inhibition				678313		SARS coronavirus	20012	SARS coronavirus 3C-like proteinase	SARS coronavirus	Target is a single protein chain	P0C6U8	Bioorg. Med. Chem. 20 (19), 5928-5935 (2012)	22884354	10.1016/j.bmc.2012.07.038	GVKKJJOMQCNPGB-JTQLQIEISA-N	C19H20O3	296.141245	-7.2224	
ffsA`@@LmdTTTTTrRRadxISkQCehF`jJjiJ`Z`@	Compound 199	314493	=	9000	nM	Ki	0.31	17.03	11.63	678192		SARS coronavirus	20012	SARS coronavirus 3C-like proteinase	SARS coronavirus	Target is a single protein chain	P0C6U8	Bioorg. Med. Chem. 20 (19), 5928-5935 (2012)	22884354	10.1016/j.bmc.2012.07.038	GVKKJJOMQCNPGB-JTQLQIEISA-N	C19H20O3	296.141245	-7.2224	
dg~D`M[`BLdTReTRQT]uJt@D@@	Compound 200	371834	=	91	%	Inhibition				278390		SARS coronavirus	20012	SARS coronavirus 3C-like proteinase	SARS coronavirus	Target is a single protein chain	P0C6U8	J. Med. Chem. 50 (8), 1850-1864 (2007)	17381079	10.1021/jm061425k	GVVPOBOYVLCUFS-UHFFFAOYSA-N	C10H7NO2S	205.019749	1.7408	
fdyPRBMFYqw`AFi}vRJIRjJIQTeKAjUhHFJ@@@	Compound 201	371857	=	15	%	Inhibition				278390		SARS coronavirus	20012	SARS coronavirus 3C-like proteinase	SARS coronavirus	Target is a single protein chain	P0C6U8	J. Med. Chem. 50 (8), 1850-1864 (2007)	17381079	10.1021/jm061425k	GXQUAQGJBDQBCA-UHFFFAOYSA-N	C11H8N2O4S	264.020478	-3.2883	
flu`b@EBtBlRYVywYVgIJbf@HZZ@@`@@	Compound 202	194698	=	50000	nM	IC50	0.31	11.84	11.51	262886		SARS coronavirus	20012	SARS coronavirus 3C-like proteinase	SARS coronavirus	Target is a single protein chain	P0C6U8	J. Med. Chem. 49 (12), 3440-3443 (2006)	16759084	10.1021/jm0602357	GXSCFBFBNQZZJL-UHFFFAOYSA-N	C15H10NO2I	362.975627	0.55214	
flu`b@EBtBlRYVywYVgIJbf@HZZ@@`@@	Compound 203	194698	=	50119	nM	Ki				262886		SARS coronavirus	20012	SARS coronavirus 3C-like proteinase	SARS coronavirus	Target is a single protein chain	P0C6U8	J. Med. Chem. 49 (12), 3440-3443 (2006)	16759084	10.1021/jm0602357	GXSCFBFBNQZZJL-UHFFFAOYSA-N	C15H10NO2I	362.975627	0.55214	
flu`b@EBtBlRYVywYVgIJbf@HZZ@@`@@	Compound 204	194698	=	50000	nM	Ki	0.31	11.84	11.51	262886		SARS coronavirus	20012	SARS coronavirus 3C-like proteinase	SARS coronavirus	Target is a single protein chain	P0C6U8	J. Med. Chem. 49 (12), 3440-3443 (2006)	16759084	10.1021/jm0602357	GXSCFBFBNQZZJL-UHFFFAOYSA-N	C15H10NO2I	362.975627	0.55214	
fjcA`@@LBdsLs[Ks\UiwlabtCADATRE@u@@	Compound 205	382969	=	14400	nM	IC50	0.31	17.40	11.16	678191		SARS coronavirus	20012	SARS coronavirus 3C-like proteinase	SARS coronavirus	Target is a single protein chain	P0C6U8	Bioorg. Med. Chem. 20 (19), 5928-5935 (2012)	22884354	10.1016/j.bmc.2012.07.038	HARGZZNYNSYSGJ-JTQLQIEISA-N	C18H14O3	278.094295	-3.1135	
fjcA`@@LBdsLs[Ks\UiwlabtCADATRE@u@@	Compound 206	382969	=	10700	nM	IC50	0.32	17.86	11.46	678310		SARS coronavirus	20012	SARS coronavirus 3C-like proteinase	SARS coronavirus	Target is a single protein chain	P0C6U8	Bioorg. Med. Chem. 20 (19), 5928-5935 (2012)	22884354	10.1016/j.bmc.2012.07.038	HARGZZNYNSYSGJ-JTQLQIEISA-N	C18H14O3	278.094295	-3.1135	
fjcA`@@LBdsLs[Ks\UiwlabtCADATRE@u@@	Compound 207	382969	=	4900	nM	IC50	0.35	19.08	12.24	678190		SARS coronavirus	20012	SARS coronavirus 3C-like proteinase	SARS coronavirus	Target is a single protein chain	P0C6U8	Bioorg. Med. Chem. 20 (19), 5928-5935 (2012)	22884354	10.1016/j.bmc.2012.07.038	HARGZZNYNSYSGJ-JTQLQIEISA-N	C18H14O3	278.094295	-3.1135	
fjcA`@@LBdsLs[Ks\UiwlabtCADATRE@u@@	Compound 208	382969	=	1200	nM	IC50	0.39	21.27	13.65	678193		SARS coronavirus	20012	SARS coronavirus 3C-like proteinase	SARS coronavirus	Target is a single protein chain	P0C6U8	Bioorg. Med. Chem. 20 (19), 5928-5935 (2012)	22884354	10.1016/j.bmc.2012.07.038	HARGZZNYNSYSGJ-JTQLQIEISA-N	C18H14O3	278.094295	-3.1135	
fjcA`@@LBdsLs[Ks\UiwlabtCADATRE@u@@	Compound 209	382969		0		Inhibition				678307		SARS coronavirus	20012	SARS coronavirus 3C-like proteinase	SARS coronavirus	Target is a single protein chain	P0C6U8	Bioorg. Med. Chem. 20 (19), 5928-5935 (2012)	22884354	10.1016/j.bmc.2012.07.038	HARGZZNYNSYSGJ-JTQLQIEISA-N	C18H14O3	278.094295	-3.1135	
fjcA`@@LBdsLs[Ks\UiwlabtCADATRE@u@@	Compound 210	382969		0		Inhibition				678308		SARS coronavirus	20012	SARS coronavirus 3C-like proteinase	SARS coronavirus	Target is a single protein chain	P0C6U8	Bioorg. Med. Chem. 20 (19), 5928-5935 (2012)	22884354	10.1016/j.bmc.2012.07.038	HARGZZNYNSYSGJ-JTQLQIEISA-N	C18H14O3	278.094295	-3.1135	
fjcA`@@LBdsLs[Ks\UiwlabtCADATRE@u@@	Compound 211	382969		0		Inhibition				678309		SARS coronavirus	20012	SARS coronavirus 3C-like proteinase	SARS coronavirus	Target is a single protein chain	P0C6U8	Bioorg. Med. Chem. 20 (19), 5928-5935 (2012)	22884354	10.1016/j.bmc.2012.07.038	HARGZZNYNSYSGJ-JTQLQIEISA-N	C18H14O3	278.094295	-3.1135	
fjcA`@@LBdsLs[Ks\UiwlabtCADATRE@u@@	Compound 212	382969		0		Inhibition				678312		SARS coronavirus	20012	SARS coronavirus 3C-like proteinase	SARS coronavirus	Target is a single protein chain	P0C6U8	Bioorg. Med. Chem. 20 (19), 5928-5935 (2012)	22884354	10.1016/j.bmc.2012.07.038	HARGZZNYNSYSGJ-JTQLQIEISA-N	C18H14O3	278.094295	-3.1135	
fjcA`@@LBdsLs[Ks\UiwlabtCADATRE@u@@	Compound 213	382969		0		Inhibition				678313		SARS coronavirus	20012	SARS coronavirus 3C-like proteinase	SARS coronavirus	Target is a single protein chain	P0C6U8	Bioorg. Med. Chem. 20 (19), 5928-5935 (2012)	22884354	10.1016/j.bmc.2012.07.038	HARGZZNYNSYSGJ-JTQLQIEISA-N	C18H14O3	278.094295	-3.1135	
fjcA`@@LBdsLs[Ks\UiwlabtCADATRE@u@@	Compound 214	382969		0		Inhibition				678191		SARS coronavirus	20012	SARS coronavirus 3C-like proteinase	SARS coronavirus	Target is a single protein chain	P0C6U8	Bioorg. Med. Chem. 20 (19), 5928-5935 (2012)	22884354	10.1016/j.bmc.2012.07.038	HARGZZNYNSYSGJ-JTQLQIEISA-N	C18H14O3	278.094295	-3.1135	
fjcA`@@LBdsLs[Ks\UiwlabtCADATRE@u@@	Compound 215	382969	=	11200	nM	Ki	0.32	17.79	11.42	678192		SARS coronavirus	20012	SARS coronavirus 3C-like proteinase	SARS coronavirus	Target is a single protein chain	P0C6U8	Bioorg. Med. Chem. 20 (19), 5928-5935 (2012)	22884354	10.1016/j.bmc.2012.07.038	HARGZZNYNSYSGJ-JTQLQIEISA-N	C18H14O3	278.094295	-3.1135	
fakA`@@TcdbfbffbTabUdyIrRuhHHjjjjhkBeZN`@	Compound 216	387462	=	1150	nM	EC50				294026		SARS coronavirus	100499	SARS coronavirus	SARS coronavirus	Target is a complete organism		J. Med. Chem. 50 (17), 4087-4095 (2007)	17663539	10.1021/jm070295s	HCQUMJYLWCSLLR-MRUHUIDDSA-N	C21H32O3	332.235145	-4.2816	
fakA`@@TcdbfbffbTabUdyIrRuhHHjjjjhkBeZN`@	Compound 217	387462	<	25	%	Inhibition				294022		SARS coronavirus	100499	SARS coronavirus	SARS coronavirus	Target is a complete organism		J. Med. Chem. 50 (17), 4087-4095 (2007)	17663539	10.1021/jm070295s	HCQUMJYLWCSLLR-MRUHUIDDSA-N	C21H32O3	332.235145	-4.2816	
fakA`@@TcdbfbffbTabUdyIrRuhHHjjjjhkBeZN`@	Compound 218	387462	<	25	%	Inhibition				294023		SARS coronavirus	100499	SARS coronavirus	SARS coronavirus	Target is a complete organism		J. Med. Chem. 50 (17), 4087-4095 (2007)	17663539	10.1021/jm070295s	HCQUMJYLWCSLLR-MRUHUIDDSA-N	C21H32O3	332.235145	-4.2816	
fakA`@@TcdbfbffbTabUdyIrRuhHHjjjjhkBeZN`@	Compound 219	387462		0		Inhibition				294025		SARS coronavirus	100499	SARS coronavirus	SARS coronavirus	Target is a complete organism		J. Med. Chem. 50 (17), 4087-4095 (2007)	17663539	10.1021/jm070295s	HCQUMJYLWCSLLR-MRUHUIDDSA-N	C21H32O3	332.235145	-4.2816	
fakA`@@TcdbfbffbTabUdyIrRuhHHjjjjhkBeZN`@	Compound 220	387462		0		Inhibition				294024		SARS coronavirus	100499	SARS coronavirus	SARS coronavirus	Target is a complete organism		J. Med. Chem. 50 (17), 4087-4095 (2007)	17663539	10.1021/jm070295s	HCQUMJYLWCSLLR-MRUHUIDDSA-N	C21H32O3	332.235145	-4.2816	
dg~D`ByPbDfU]YZX{`@jfa@@	Compound 221	371879	=	11	%	Inhibition				278390		SARS coronavirus	20012	SARS coronavirus 3C-like proteinase	SARS coronavirus	Target is a single protein chain	P0C6U8	J. Med. Chem. 50 (8), 1850-1864 (2007)	17381079	10.1021/jm061425k	HDKWHBXHKZBNJZ-UHFFFAOYSA-N	C10H8NO2Cl	209.024356	-1.1315	
f`q`P@D@YYvQQQQEKJXgEZZi`BZ@@@	Compound 222	97000	<	25	%	Inhibition				262887		SARS coronavirus	20012	SARS coronavirus 3C-like proteinase	SARS coronavirus	Target is a single protein chain	P0C6U8	J. Med. Chem. 49 (12), 3440-3443 (2006)	16759084	10.1021/jm0602357	HENVEYFKOOGIOO-UHFFFAOYSA-N	C11H9NO4	219.053159	-2.839	
fnsQB@FAT@HrQQJEJKJIKYPeIZSfiYijC@jd@@	Compound 223	1619988	>	26000	nM	EC50				825873		SARS coronavirus	100499	SARS coronavirus	SARS coronavirus	Target is a complete organism			24486419	10.1016/j.ejmech.2013.12.055	HGVUXPHBBUTFTF-UHFFFAOYSA-N	C19H16N2OS	320.098333	0.47607	
foAab@B\ehFHdrkmrtYYt@EMMB@@	Compound 224	371869	=	50	nM	IC50	0.66	27.24	13.95	278391		SARS coronavirus	20012	SARS coronavirus 3C-like proteinase	SARS coronavirus	Target is a single protein chain	P0C6U8	J. Med. Chem. 50 (8), 1850-1864 (2007)	17381079	10.1021/jm061425k	HMICIXHTRIFAET-UHFFFAOYSA-N	C10H6NO3Br	266.953105	-2.3215	
